pos_group,bracket,age,pct_overall,pct_pace,pct_shooting,pct_passing,pct_dribbling,pct_defending,pct_physic,sample_size
DM,80-89,32,0.9496456173497748,0.8337362195193304,0.952955663982921,0.9628846536958111,0.948181466196622,0.9529140121449869,0.9422066466032858,97
DM,80-89,33,0.9447105405971948,0.7195002782559868,0.9578909308329174,0.9648059919297328,0.9501619640403703,0.9477869439541343,0.92425265117742,87
DM,80-89,34,0.9359494099015273,0.8024433149494263,0.9423880142256369,0.9532992978873764,0.9420714683911781,0.9365615920403633,0.9430989210661419,63
DM,80-89,35,0.9510254781612154,0.7902132669613752,0.9686823952190231,0.9695554689202218,0.9638531576693095,0.9543017641568416,0.9570427576206993,34
DM,90+,31,0.9827160493827161,0.8888888888888888,1.0,0.9610389610389611,0.9878048780487805,0.9936143039591315,0.9695767195767195,9
FB,50-59,16,0.9830310486691681,0.9961730632551528,0.9847923451658129,0.9850517611299839,0.9842305842305842,0.9858475022088551,0.9814771183211558,35
FB,50-59,17,0.9852477512870054,0.9887283863319014,0.9834144455201071,0.9802857998270671,0.9879232348162654,0.9863794970492769,0.9885865485084283,241
FB,50-59,18,0.9887827182309473,0.9922044320194098,0.9875182933323766,0.9791282658514455,0.9861271764680307,0.9894474949497345,0.9875576296587867,662
FB,50-59,19,0.9913720693400826,0.9909316751772848,0.9903366383869376,0.9843666269742696,0.9904863481456053,0.9927547130067632,0.9885727464092418,963
FB,50-59,20,0.9931117250709892,0.9891601935477957,0.9886715967822776,0.9892362813086222,0.9914889769237992,0.9933362994957291,0.9897533134705618,862
FB,50-59,21,0.9933402380264968,0.9887963565954541,0.9911288310222028,0.9892910026749953,0.9907160936386413,0.9939198571837291,0.9898762269323301,719
FB,50-59,22,0.9922274616040685,0.9939178415669512,0.9863559025676079,0.989019081302512,0.9920527223955672,0.9890276824651419,0.9927377695331175,535
FB,50-59,23,0.9931246885424583,0.9926215223956955,0.9838217778067715,0.9900300622032826,0.9898708038361819,0.9879778017225994,0.9928892253716831,468
FB,50-59,24,0.991833074695535,0.9805757786967539,0.9904146596119467,0.9885446270256212,0.9912381681397956,0.9859082771955885,0.9922615979638257,311
FB,50-59,25,0.9932509440063116,0.9888006902338125,0.9897141508007928,0.9913010887054907,0.993746699472956,0.9906890472383071,0.9940825798949271,266
FB,50-59,26,0.99445852407852,0.9836390270437136,0.9882290985977483,0.9906567434326822,0.9925295325704306,0.9904802910196342,0.9944627318799925,152
FB,50-59,27,0.9948381078596206,0.9931010855358582,0.9943872695017733,0.9947248109848424,0.9928501144199704,0.9901421987417331,0.99152700852824,131
FB,50-59,28,0.9884764889840038,0.9856070175478469,0.988041507800544,0.9875375628387676,0.9819731163394314,0.9863219028945388,0.9916665919732306,83
FB,50-59,29,0.9941450410062947,0.989764716616414,0.9941939327543782,0.9897619299017508,0.9799759970587698,0.988464496752641,0.9898909655221015,74
FB,50-59,30,0.9899489199757254,0.9904087953065794,0.9963006781809112,0.9854952363788035,0.9858525565500164,0.9879115763547078,0.9885712319243858,67
FB,50-59,31,0.9889823747367239,0.9949131854151707,0.9914805847009237,0.9875767358818206,0.9805723305396999,0.9741461343299895,0.9978792849213844,59
FB,50-59,32,0.9934575123152709,0.9988425925925926,0.9940468717304874,0.9842590480115595,0.995827943648091,0.994173399220854,0.9915364583333334,24
